headline,pubDate,tokens,lemmatized_tokens,source
Biden and Netanyahu speak as pressure grows over Rafah and Gaza ceasefire talks,2024-04-29,"['Biden', 'and', 'Netanyahu', 'speak', 'as', 'pressure', 'grows', 'over', 'Rafah', 'and', 'Gaza', 'ceasefire', 'talks']","['Biden', 'and', 'Netanyahu', 'speak', 'a', 'pressure', 'grows', 'over', 'Rafah', 'and', 'Gaza', 'ceasefire', 'talk']",guardian
Labour peer Alf Dubs calls for refugee plan for Palestinians,2023-10-20,"['Labour', 'peer', 'Alf', 'Dubs', 'calls', 'for', 'refugee', 'plan', 'for', 'Palestinians']","['Labour', 'peer', 'Alf', 'Dubs', 'call', 'for', 'refugee', 'plan', 'for', 'Palestinians']",guardian
‘Do not bow’: ex-Black Panther praises pro-Palestinian student protesters from prison,2024-04-28,"['‘Do', 'not', 'bow’:', 'ex-Black', 'Panther', 'praises', 'pro-Palestinian', 'student', 'protesters', 'from', 'prison']","['‘Do', 'not', 'bow’:', 'ex-Black', 'Panther', 'praise', 'pro-Palestinian', 'student', 'protester', 'from', 'prison']",guardian
The Guardian view on the catastrophe in Gaza: it must not be overshadowed by the Iran crisis | Editorial,2024-04-18,"['The', 'Guardian', 'view', 'on', 'the', 'catastrophe', 'in', 'Gaza:', 'it', 'must', 'not', 'be', 'overshadowed', 'by', 'the', 'Iran', 'crisis', '|', 'Editorial']","['The', 'Guardian', 'view', 'on', 'the', 'catastrophe', 'in', 'Gaza:', 'it', 'must', 'not', 'be', 'overshadowed', 'by', 'the', 'Iran', 'crisis', '|', 'Editorial']",guardian
Arms maker BAE Systems makes record profit amid Ukraine and Israel-Gaza wars,2024-02-21,"['Arms', 'maker', 'BAE', 'Systems', 'makes', 'record', 'profit', 'amid', 'Ukraine', 'and', 'Israel-Gaza', 'wars']","['Arms', 'maker', 'BAE', 'Systems', 'make', 'record', 'profit', 'amid', 'Ukraine', 'and', 'Israel-Gaza', 'war']",guardian
‘We are showing the world what people do’: grim relics of Hamas attack go on display in New York,2024-04-28,"['‘We', 'are', 'showing', 'the', 'world', 'what', 'people', 'do’:', 'grim', 'relics', 'of', 'Hamas', 'attack', 'go', 'on', 'display', 'in', 'New', 'York']","['‘We', 'are', 'showing', 'the', 'world', 'what', 'people', 'do’:', 'grim', 'relic', 'of', 'Hamas', 'attack', 'go', 'on', 'display', 'in', 'New', 'York']",guardian
"Pro-Palestinian and pro-Israeli protesters clash at University of California, Los Angeles",2024-04-29,"['Pro-Palestinian', 'and', 'pro-Israeli', 'protesters', 'clash', 'at', 'University', 'of', 'California,', 'Los', 'Angeles']","['Pro-Palestinian', 'and', 'pro-Israeli', 'protester', 'clash', 'at', 'University', 'of', 'California,', 'Los', 'Angeles']",guardian
Israel and Iran cross the line: inside the 26 April Guardian Weekly,2024-04-24,"['Israel', 'and', 'Iran', 'cross', 'the', 'line:', 'inside', 'the', '26', 'April', 'Guardian', 'Weekly']","['Israel', 'and', 'Iran', 'cross', 'the', 'line:', 'inside', 'the', '26', 'April', 'Guardian', 'Weekly']",guardian
Hundreds of thousands rally for Gaza in London as police arrest far-right protesters,2023-11-11,"['Hundreds', 'of', 'thousands', 'rally', 'for', 'Gaza', 'in', 'London', 'as', 'police', 'arrest', 'far-right', 'protesters']","['Hundreds', 'of', 'thousand', 'rally', 'for', 'Gaza', 'in', 'London', 'a', 'police', 'arrest', 'far-right', 'protester']",guardian
How should the US respond to the Israel-Palestine crisis? Our panel weighs in | Panelists,2023-10-10,"['How', 'should', 'the', 'US', 'respond', 'to', 'the', 'Israel-Palestine', 'crisis?', 'Our', 'panel', 'weighs', 'in', '|', 'Panelists']","['How', 'should', 'the', 'US', 'respond', 'to', 'the', 'Israel-Palestine', 'crisis?', 'Our', 'panel', 'weighs', 'in', '|', 'Panelists']",guardian
Far-right groups plot London rally against pro-Palestine march on Armistice Day,2023-11-09,"['Far-right', 'groups', 'plot', 'London', 'rally', 'against', 'pro-Palestine', 'march', 'on', 'Armistice', 'Day']","['Far-right', 'group', 'plot', 'London', 'rally', 'against', 'pro-Palestine', 'march', 'on', 'Armistice', 'Day']",guardian
Cameron urges Israel to be ‘smart’ by not escalating tensions with Iran,2024-04-15,"['Cameron', 'urges', 'Israel', 'to', 'be', '‘smart’', 'by', 'not', 'escalating', 'tensions', 'with', 'Iran']","['Cameron', 'urge', 'Israel', 'to', 'be', '‘smart’', 'by', 'not', 'escalating', 'tension', 'with', 'Iran']",guardian
Iran’s silence over possible reprisals against Israel poses domestic risks,2024-04-13,"['Iran’s', 'silence', 'over', 'possible', 'reprisals', 'against', 'Israel', 'poses', 'domestic', 'risks']","['Iran’s', 'silence', 'over', 'possible', 'reprisal', 'against', 'Israel', 'pose', 'domestic', 'risk']",guardian
Israel yet to provide evidence to back UNRWA 7 October attack claims – UN,2024-03-01,"['Israel', 'yet', 'to', 'provide', 'evidence', 'to', 'back', 'UNRWA', '7', 'October', 'attack', 'claims', '–', 'UN']","['Israel', 'yet', 'to', 'provide', 'evidence', 'to', 'back', 'UNRWA', '7', 'October', 'attack', 'claim', '–', 'UN']",guardian
Widespread destruction in Gaza puts concept of ‘domicide’ in focus,2023-12-07,"['Widespread', 'destruction', 'in', 'Gaza', 'puts', 'concept', 'of', '‘domicide’', 'in', 'focus']","['Widespread', 'destruction', 'in', 'Gaza', 'put', 'concept', 'of', '‘domicide’', 'in', 'focus']",guardian
"UK professor suffered discrimination due to anti-Zionist beliefs, tribunal rules",2024-02-05,"['UK', 'professor', 'suffered', 'discrimination', 'due', 'to', 'anti-Zionist', 'beliefs,', 'tribunal', 'rules']","['UK', 'professor', 'suffered', 'discrimination', 'due', 'to', 'anti-Zionist', 'beliefs,', 'tribunal', 'rule']",guardian
‘Smokescreen’: officials voice concern over US plans for Gaza aid pier,2024-04-24,"['‘Smokescreen’:', 'officials', 'voice', 'concern', 'over', 'US', 'plans', 'for', 'Gaza', 'aid', 'pier']","['‘Smokescreen’:', 'official', 'voice', 'concern', 'over', 'US', 'plan', 'for', 'Gaza', 'aid', 'pier']",guardian
"No evidence yet of Iran link to Hamas attack, says Israeli military",2023-10-09,"['No', 'evidence', 'yet', 'of', 'Iran', 'link', 'to', 'Hamas', 'attack,', 'says', 'Israeli', 'military']","['No', 'evidence', 'yet', 'of', 'Iran', 'link', 'to', 'Hamas', 'attack,', 'say', 'Israeli', 'military']",guardian
Yemeni government urges UK to back Gaza ceasefire,2024-01-16,"['Yemeni', 'government', 'urges', 'UK', 'to', 'back', 'Gaza', 'ceasefire']","['Yemeni', 'government', 'urge', 'UK', 'to', 'back', 'Gaza', 'ceasefire']",guardian
Antony Blinken to visit Saudi Arabia to try to restart Gaza ceasefire talks,2024-04-28,"['Antony', 'Blinken', 'to', 'visit', 'Saudi', 'Arabia', 'to', 'try', 'to', 'restart', 'Gaza', 'ceasefire', 'talks']","['Antony', 'Blinken', 'to', 'visit', 'Saudi', 'Arabia', 'to', 'try', 'to', 'restart', 'Gaza', 'ceasefire', 'talk']",guardian
PEN America cancels festival after authors drop out in support of Gaza,2024-04-26,"['PEN', 'America', 'cancels', 'festival', 'after', 'authors', 'drop', 'out', 'in', 'support', 'of', 'Gaza']","['PEN', 'America', 'cancel', 'festival', 'after', 'author', 'drop', 'out', 'in', 'support', 'of', 'Gaza']",guardian
British Museum closes to visitors as Energy Embargo for Palestine group gathers outside,2024-03-24,"['British', 'Museum', 'closes', 'to', 'visitors', 'as', 'Energy', 'Embargo', 'for', 'Palestine', 'group', 'gathers', 'outside']","['British', 'Museum', 'close', 'to', 'visitor', 'a', 'Energy', 'Embargo', 'for', 'Palestine', 'group', 'gather', 'outside']",guardian
Arsenal criticised after Jewish fans walk away over pro-Palestine rally outside stadium,2024-03-05,"['Arsenal', 'criticised', 'after', 'Jewish', 'fans', 'walk', 'away', 'over', 'pro-Palestine', 'rally', 'outside', 'stadium']","['Arsenal', 'criticised', 'after', 'Jewish', 'fan', 'walk', 'away', 'over', 'pro-Palestine', 'rally', 'outside', 'stadium']",guardian
MPs clash in Commons as government urged to back instant Gaza ceasefire,2023-12-19,"['MPs', 'clash', 'in', 'Commons', 'as', 'government', 'urged', 'to', 'back', 'instant', 'Gaza', 'ceasefire']","['MPs', 'clash', 'in', 'Commons', 'a', 'government', 'urged', 'to', 'back', 'instant', 'Gaza', 'ceasefire']",guardian
Humza Yousaf’s wife says her young cousins in Gaza have shrapnel injuries,2023-10-17,"['Humza', 'Yousaf’s', 'wife', 'says', 'her', 'young', 'cousins', 'in', 'Gaza', 'have', 'shrapnel', 'injuries']","['Humza', 'Yousaf’s', 'wife', 'say', 'her', 'young', 'cousin', 'in', 'Gaza', 'have', 'shrapnel', 'injury']",guardian
UN says Israeli restrictions on Gaza food aid may constitute a war crime,2024-03-19,"['UN', 'says', 'Israeli', 'restrictions', 'on', 'Gaza', 'food', 'aid', 'may', 'constitute', 'a', 'war', 'crime']","['UN', 'say', 'Israeli', 'restriction', 'on', 'Gaza', 'food', 'aid', 'may', 'constitute', 'a', 'war', 'crime']",guardian
"Props from botched Willy Wonka event raise more than £2,000 for Palestinian aid charity",2024-03-14,"['Props', 'from', 'botched', 'Willy', 'Wonka', 'event', 'raise', 'more', 'than', '£2,000', 'for', 'Palestinian', 'aid', 'charity']","['Props', 'from', 'botched', 'Willy', 'Wonka', 'event', 'raise', 'more', 'than', '£2,000', 'for', 'Palestinian', 'aid', 'charity']",guardian
East London school in Palestinian flag row could close after threats and abuse,2024-01-19,"['East', 'London', 'school', 'in', 'Palestinian', 'flag', 'row', 'could', 'close', 'after', 'threats', 'and', 'abuse']","['East', 'London', 'school', 'in', 'Palestinian', 'flag', 'row', 'could', 'close', 'after', 'threat', 'and', 'abuse']",guardian
Israeli director receives death threats after officials call Berlin film festival ‘antisemitic’,2024-02-27,"['Israeli', 'director', 'receives', 'death', 'threats', 'after', 'officials', 'call', 'Berlin', 'film', 'festival', '‘antisemitic’']","['Israeli', 'director', 'receives', 'death', 'threat', 'after', 'official', 'call', 'Berlin', 'film', 'festival', '‘antisemitic’']",guardian
"German minister says she clapped Israeli film-maker, not his Palestinian colleague, at Berlinale",2024-02-27,"['German', 'minister', 'says', 'she', 'clapped', 'Israeli', 'film-maker,', 'not', 'his', 'Palestinian', 'colleague,', 'at', 'Berlinale']","['German', 'minister', 'say', 'she', 'clapped', 'Israeli', 'film-maker,', 'not', 'his', 'Palestinian', 'colleague,', 'at', 'Berlinale']",guardian
Blinken says ‘a lot of work’ remains on Gaza ceasefire and hostage talks,2024-02-07,"['Blinken', 'says', '‘a', 'lot', 'of', 'work’', 'remains', 'on', 'Gaza', 'ceasefire', 'and', 'hostage', 'talks']","['Blinken', 'say', '‘a', 'lot', 'of', 'work’', 'remains', 'on', 'Gaza', 'ceasefire', 'and', 'hostage', 'talk']",guardian
Gareth Evans tells Labor to ‘get off the fence’ and restart UNRWA funding to help ease Gaza crisis,2024-03-11,"['Gareth', 'Evans', 'tells', 'Labor', 'to', '‘get', 'off', 'the', 'fence’', 'and', 'restart', 'UNRWA', 'funding', 'to', 'help', 'ease', 'Gaza', 'crisis']","['Gareth', 'Evans', 'tell', 'Labor', 'to', '‘get', 'off', 'the', 'fence’', 'and', 'restart', 'UNRWA', 'funding', 'to', 'help', 'ease', 'Gaza', 'crisis']",guardian
Thursday briefing: The Labour councillors quitting over Keir Starmer’s Israel-Hamas ceasefire stance,2023-11-02,"['Thursday', 'briefing:', 'The', 'Labour', 'councillors', 'quitting', 'over', 'Keir', 'Starmer’s', 'Israel-Hamas', 'ceasefire', 'stance']","['Thursday', 'briefing:', 'The', 'Labour', 'councillor', 'quitting', 'over', 'Keir', 'Starmer’s', 'Israel-Hamas', 'ceasefire', 'stance']",guardian
Does Prince William calling for fighting to stop in Gaza herald a new era of royal frankness? Let’s hope so | Stephen Bates,2024-02-21,"['Does', 'Prince', 'William', 'calling', 'for', 'fighting', 'to', 'stop', 'in', 'Gaza', 'herald', 'a', 'new', 'era', 'of', 'royal', 'frankness?', 'Let’s', 'hope', 'so', '|', 'Stephen', 'Bates']","['Does', 'Prince', 'William', 'calling', 'for', 'fighting', 'to', 'stop', 'in', 'Gaza', 'herald', 'a', 'new', 'era', 'of', 'royal', 'frankness?', 'Let’s', 'hope', 'so', '|', 'Stephen', 'Bates']",guardian
Gaza hostage deal: what do we know?,2023-11-22,"['Gaza', 'hostage', 'deal:', 'what', 'do', 'we', 'know?']","['Gaza', 'hostage', 'deal:', 'what', 'do', 'we', 'know?']",guardian
Why is Qatar often a mediator and what is its role in Israel-Hamas war?,2023-11-21,"['Why', 'is', 'Qatar', 'often', 'a', 'mediator', 'and', 'what', 'is', 'its', 'role', 'in', 'Israel-Hamas', 'war?']","['Why', 'is', 'Qatar', 'often', 'a', 'mediator', 'and', 'what', 'is', 'it', 'role', 'in', 'Israel-Hamas', 'war?']",guardian
"Netanyahu rejected ceasefire-for-hostages deal in Gaza, sources say",2023-11-09,"['Netanyahu', 'rejected', 'ceasefire-for-hostages', 'deal', 'in', 'Gaza,', 'sources', 'say']","['Netanyahu', 'rejected', 'ceasefire-for-hostages', 'deal', 'in', 'Gaza,', 'source', 'say']",guardian
Harvard journal accused of censoring article alleging genocide in Gaza,2023-11-22,"['Harvard', 'journal', 'accused', 'of', 'censoring', 'article', 'alleging', 'genocide', 'in', 'Gaza']","['Harvard', 'journal', 'accused', 'of', 'censoring', 'article', 'alleging', 'genocide', 'in', 'Gaza']",guardian
‘McCarthyite backlash’: response to criticism of Israel alarms rights groups,2023-10-30,"['‘McCarthyite', 'backlash’:', 'response', 'to', 'criticism', 'of', 'Israel', 'alarms', 'rights', 'groups']","['‘McCarthyite', 'backlash’:', 'response', 'to', 'criticism', 'of', 'Israel', 'alarm', 'right', 'group']",guardian
Met police chief defies calls to ban pro-Palestine Armistice Day march in London,2023-11-07,"['Met', 'police', 'chief', 'defies', 'calls', 'to', 'ban', 'pro-Palestine', 'Armistice', 'Day', 'march', 'in', 'London']","['Met', 'police', 'chief', 'defies', 'call', 'to', 'ban', 'pro-Palestine', 'Armistice', 'Day', 'march', 'in', 'London']",guardian
Tens of thousands of pro-Palestine protesters march through London,2024-03-09,"['Tens', 'of', 'thousands', 'of', 'pro-Palestine', 'protesters', 'march', 'through', 'London']","['Tens', 'of', 'thousand', 'of', 'pro-Palestine', 'protester', 'march', 'through', 'London']",guardian
Israeli foreign minister accuses Irish taoiseach of legitimising terror over hostage statement,2023-11-26,"['Israeli', 'foreign', 'minister', 'accuses', 'Irish', 'taoiseach', 'of', 'legitimising', 'terror', 'over', 'hostage', 'statement']","['Israeli', 'foreign', 'minister', 'accuses', 'Irish', 'taoiseach', 'of', 'legitimising', 'terror', 'over', 'hostage', 'statement']",guardian
"Solidarity with Palestinians is not hate speech, whatever would-be censors say | Kenan Malik",2023-12-03,"['Solidarity', 'with', 'Palestinians', 'is', 'not', 'hate', 'speech,', 'whatever', 'would-be', 'censors', 'say', '|', 'Kenan', 'Malik']","['Solidarity', 'with', 'Palestinians', 'is', 'not', 'hate', 'speech,', 'whatever', 'would-be', 'censor', 'say', '|', 'Kenan', 'Malik']",guardian
Gaza food aid ship stuck at Cyprus with ‘technical difficulties’,2024-03-10,"['Gaza', 'food', 'aid', 'ship', 'stuck', 'at', 'Cyprus', 'with', '‘technical', 'difficulties’']","['Gaza', 'food', 'aid', 'ship', 'stuck', 'at', 'Cyprus', 'with', '‘technical', 'difficulties’']",guardian
US Senate releases draft bill to toughen border measures while securing aid to Ukraine and Israel,2024-02-05,"['US', 'Senate', 'releases', 'draft', 'bill', 'to', 'toughen', 'border', 'measures', 'while', 'securing', 'aid', 'to', 'Ukraine', 'and', 'Israel']","['US', 'Senate', 'release', 'draft', 'bill', 'to', 'toughen', 'border', 'measure', 'while', 'securing', 'aid', 'to', 'Ukraine', 'and', 'Israel']",guardian
Is there about to be a breakthrough in the Gaza ceasefire talks?,2024-04-28,"['Is', 'there', 'about', 'to', 'be', 'a', 'breakthrough', 'in', 'the', 'Gaza', 'ceasefire', 'talks?']","['Is', 'there', 'about', 'to', 'be', 'a', 'breakthrough', 'in', 'the', 'Gaza', 'ceasefire', 'talks?']",guardian
Israel still has no proof of Unrwa terrorist claims – but damage to aid agency is done,2024-04-22,"['Israel', 'still', 'has', 'no', 'proof', 'of', 'Unrwa', 'terrorist', 'claims', '–', 'but', 'damage', 'to', 'aid', 'agency', 'is', 'done']","['Israel', 'still', 'ha', 'no', 'proof', 'of', 'Unrwa', 'terrorist', 'claim', '–', 'but', 'damage', 'to', 'aid', 'agency', 'is', 'done']",guardian
Aurora’s Sunrise review – remarkable story of genocide horror and survival,2023-11-20,"['Aurora’s', 'Sunrise', 'review', '–', 'remarkable', 'story', 'of', 'genocide', 'horror', 'and', 'survival']","['Aurora’s', 'Sunrise', 'review', '–', 'remarkable', 'story', 'of', 'genocide', 'horror', 'and', 'survival']",guardian
Tractor blockade disrupts operations at Belgian port of Antwerp,2024-02-13,"['Tractor', 'blockade', 'disrupts', 'operations', 'at', 'Belgian', 'port', 'of', 'Antwerp']","['Tractor', 'blockade', 'disrupts', 'operation', 'at', 'Belgian', 'port', 'of', 'Antwerp']",guardian
State Library Victoria staff accuse management of ‘censorship and discrimination’ over pro-Palestine authors controversy,2024-03-14,"['State', 'Library', 'Victoria', 'staff', 'accuse', 'management', 'of', '‘censorship', 'and', 'discrimination’', 'over', 'pro-Palestine', 'authors', 'controversy']","['State', 'Library', 'Victoria', 'staff', 'accuse', 'management', 'of', '‘censorship', 'and', 'discrimination’', 'over', 'pro-Palestine', 'author', 'controversy']",guardian
Israeli diplomats pre-emptively attack findings of Unrwa inquiries,2024-03-20,"['Israeli', 'diplomats', 'pre-emptively', 'attack', 'findings', 'of', 'Unrwa', 'inquiries']","['Israeli', 'diplomat', 'pre-emptively', 'attack', 'finding', 'of', 'Unrwa', 'inquiry']",guardian
Jared Kushner says Gaza’s ‘waterfront property could be very valuable’,2024-03-19,"['Jared', 'Kushner', 'says', 'Gaza’s', '‘waterfront', 'property', 'could', 'be', 'very', 'valuable’']","['Jared', 'Kushner', 'say', 'Gaza’s', '‘waterfront', 'property', 'could', 'be', 'very', 'valuable’']",guardian
I believe in another Israel – one not defined by Benjamin Netanyahu and his cronies | Naama Lazimi,2024-04-13,"['I', 'believe', 'in', 'another', 'Israel', '–', 'one', 'not', 'defined', 'by', 'Benjamin', 'Netanyahu', 'and', 'his', 'cronies', '|', 'Naama', 'Lazimi']","['I', 'believe', 'in', 'another', 'Israel', '–', 'one', 'not', 'defined', 'by', 'Benjamin', 'Netanyahu', 'and', 'his', 'crony', '|', 'Naama', 'Lazimi']",guardian
Labour’s Anas Sarwar joins calls for ban on UK arms sales to Israel,2024-04-05,"['Labour’s', 'Anas', 'Sarwar', 'joins', 'calls', 'for', 'ban', 'on', 'UK', 'arms', 'sales', 'to', 'Israel']","['Labour’s', 'Anas', 'Sarwar', 'join', 'call', 'for', 'ban', 'on', 'UK', 'arm', 'sale', 'to', 'Israel']",guardian
Joe Biden’s peace mission to Israel exposed the limits of US global influence | Martin Kettle,2023-10-18,"['Joe', 'Biden’s', 'peace', 'mission', 'to', 'Israel', 'exposed', 'the', 'limits', 'of', 'US', 'global', 'influence', '|', 'Martin', 'Kettle']","['Joe', 'Biden’s', 'peace', 'mission', 'to', 'Israel', 'exposed', 'the', 'limit', 'of', 'US', 'global', 'influence', '|', 'Martin', 'Kettle']",guardian
New wave of violence sweeps West Bank as Israel launches series of raids,2024-01-18,"['New', 'wave', 'of', 'violence', 'sweeps', 'West', 'Bank', 'as', 'Israel', 'launches', 'series', 'of', 'raids']","['New', 'wave', 'of', 'violence', 'sweep', 'West', 'Bank', 'a', 'Israel', 'launch', 'series', 'of', 'raid']",guardian
Israel and Hamas agree deal to send medicine to hostages and Gaza civilians,2024-01-17,"['Israel', 'and', 'Hamas', 'agree', 'deal', 'to', 'send', 'medicine', 'to', 'hostages', 'and', 'Gaza', 'civilians']","['Israel', 'and', 'Hamas', 'agree', 'deal', 'to', 'send', 'medicine', 'to', 'hostage', 'and', 'Gaza', 'civilian']",guardian
"The Israel-Hamas war is deadly for journalists. Lives are being lost, and truth | Margaret Sullivan",2023-11-28,"['The', 'Israel-Hamas', 'war', 'is', 'deadly', 'for', 'journalists.', 'Lives', 'are', 'being', 'lost,', 'and', 'truth', '|', 'Margaret', 'Sullivan']","['The', 'Israel-Hamas', 'war', 'is', 'deadly', 'for', 'journalists.', 'Lives', 'are', 'being', 'lost,', 'and', 'truth', '|', 'Margaret', 'Sullivan']",guardian
‘I was held hostage and made to wear a nappy!’ Julia Davis and others on the sublime ‘sick-com’ Nighty Night,2024-01-05,"['‘I', 'was', 'held', 'hostage', 'and', 'made', 'to', 'wear', 'a', 'nappy!’', 'Julia', 'Davis', 'and', 'others', 'on', 'the', 'sublime', '‘sick-com’', 'Nighty', 'Night']","['‘I', 'wa', 'held', 'hostage', 'and', 'made', 'to', 'wear', 'a', 'nappy!’', 'Julia', 'Davis', 'and', 'others', 'on', 'the', 'sublime', '‘sick-com’', 'Nighty', 'Night']",guardian
Carols by Candlelight: Melbourne woman arrested after pro-Palestine supporters storm stage,2023-12-25,"['Carols', 'by', 'Candlelight:', 'Melbourne', 'woman', 'arrested', 'after', 'pro-Palestine', 'supporters', 'storm', 'stage']","['Carols', 'by', 'Candlelight:', 'Melbourne', 'woman', 'arrested', 'after', 'pro-Palestine', 'supporter', 'storm', 'stage']",guardian
‘Distressed’ BBC staff get mental health support over Israel-Hamas war,2023-10-22,"['‘Distressed’', 'BBC', 'staff', 'get', 'mental', 'health', 'support', 'over', 'Israel-Hamas', 'war']","['‘Distressed’', 'BBC', 'staff', 'get', 'mental', 'health', 'support', 'over', 'Israel-Hamas', 'war']",guardian
"We cannot turn away from suffering, but I can no longer watch the news coverage from Israel and Gaza | Simon Jenkins",2023-11-07,"['We', 'cannot', 'turn', 'away', 'from', 'suffering,', 'but', 'I', 'can', 'no', 'longer', 'watch', 'the', 'news', 'coverage', 'from', 'Israel', 'and', 'Gaza', '|', 'Simon', 'Jenkins']","['We', 'cannot', 'turn', 'away', 'from', 'suffering,', 'but', 'I', 'can', 'no', 'longer', 'watch', 'the', 'news', 'coverage', 'from', 'Israel', 'and', 'Gaza', '|', 'Simon', 'Jenkins']",guardian
Republican House speaker says he’ll invite Netanyahu to address Congress,2024-03-21,"['Republican', 'House', 'speaker', 'says', 'he’ll', 'invite', 'Netanyahu', 'to', 'address', 'Congress']","['Republican', 'House', 'speaker', 'say', 'he’ll', 'invite', 'Netanyahu', 'to', 'address', 'Congress']",guardian
‘Man-made famine’ charge against Israel is backed by mounting body of evidence,2024-03-20,"['‘Man-made', 'famine’', 'charge', 'against', 'Israel', 'is', 'backed', 'by', 'mounting', 'body', 'of', 'evidence']","['‘Man-made', 'famine’', 'charge', 'against', 'Israel', 'is', 'backed', 'by', 'mounting', 'body', 'of', 'evidence']",guardian
House speaker condemned for remarks on pro-Palestine student protests,2024-04-25,"['House', 'speaker', 'condemned', 'for', 'remarks', 'on', 'pro-Palestine', 'student', 'protests']","['House', 'speaker', 'condemned', 'for', 'remark', 'on', 'pro-Palestine', 'student', 'protest']",guardian
Newcastle port blockade: paddling activists take part in one of the biggest climate protests in Australia’s history,2023-11-25,"['Newcastle', 'port', 'blockade:', 'paddling', 'activists', 'take', 'part', 'in', 'one', 'of', 'the', 'biggest', 'climate', 'protests', 'in', 'Australia’s', 'history']","['Newcastle', 'port', 'blockade:', 'paddling', 'activist', 'take', 'part', 'in', 'one', 'of', 'the', 'biggest', 'climate', 'protest', 'in', 'Australia’s', 'history']",guardian
What is the genocide convention and how might it apply to the UK and Israel?,2024-04-03,"['What', 'is', 'the', 'genocide', 'convention', 'and', 'how', 'might', 'it', 'apply', 'to', 'the', 'UK', 'and', 'Israel?']","['What', 'is', 'the', 'genocide', 'convention', 'and', 'how', 'might', 'it', 'apply', 'to', 'the', 'UK', 'and', 'Israel?']",guardian
Harris is reaching Democrats where Biden isn’t – on abortion and Gaza,2024-03-09,"['Harris', 'is', 'reaching', 'Democrats', 'where', 'Biden', 'isn’t', '–', 'on', 'abortion', 'and', 'Gaza']","['Harris', 'is', 'reaching', 'Democrats', 'where', 'Biden', 'isn’t', '–', 'on', 'abortion', 'and', 'Gaza']",guardian
Cameron urged to publish Foreign Office legal advice on Israel’s war in Gaza,2024-03-22,"['Cameron', 'urged', 'to', 'publish', 'Foreign', 'Office', 'legal', 'advice', 'on', 'Israel’s', 'war', 'in', 'Gaza']","['Cameron', 'urged', 'to', 'publish', 'Foreign', 'Office', 'legal', 'advice', 'on', 'Israel’s', 'war', 'in', 'Gaza']",guardian
Aid ship expected to leave Cyprus for Gaza faces logistical delays,2024-03-09,"['Aid', 'ship', 'expected', 'to', 'leave', 'Cyprus', 'for', 'Gaza', 'faces', 'logistical', 'delays']","['Aid', 'ship', 'expected', 'to', 'leave', 'Cyprus', 'for', 'Gaza', 'face', 'logistical', 'delay']",guardian
Why hasn’t the US called for an investigation into mass graves in Gaza? | Arwa Mahdawi,2024-04-30,"['Why', 'hasn’t', 'the', 'US', 'called', 'for', 'an', 'investigation', 'into', 'mass', 'graves', 'in', 'Gaza?', '|', 'Arwa', 'Mahdawi']","['Why', 'hasn’t', 'the', 'US', 'called', 'for', 'an', 'investigation', 'into', 'mass', 'graf', 'in', 'Gaza?', '|', 'Arwa', 'Mahdawi']",guardian
French diplomat to review UNRWA after claims of staff role in Hamas attack,2024-02-05,"['French', 'diplomat', 'to', 'review', 'UNRWA', 'after', 'claims', 'of', 'staff', 'role', 'in', 'Hamas', 'attack']","['French', 'diplomat', 'to', 'review', 'UNRWA', 'after', 'claim', 'of', 'staff', 'role', 'in', 'Hamas', 'attack']",guardian
Gary Lineker says he received threats after Israeli sports ban retweet,2024-01-20,"['Gary', 'Lineker', 'says', 'he', 'received', 'threats', 'after', 'Israeli', 'sports', 'ban', 'retweet']","['Gary', 'Lineker', 'say', 'he', 'received', 'threat', 'after', 'Israeli', 'sport', 'ban', 'retweet']",guardian
"US police agencies took intelligence directly from IDF, leaked files show",2023-12-08,"['US', 'police', 'agencies', 'took', 'intelligence', 'directly', 'from', 'IDF,', 'leaked', 'files', 'show']","['US', 'police', 'agency', 'took', 'intelligence', 'directly', 'from', 'IDF,', 'leaked', 'file', 'show']",guardian
‘All we think about is how to stay alive’: the horror of daily life for those trapped in Gaza,2024-04-07,"['‘All', 'we', 'think', 'about', 'is', 'how', 'to', 'stay', 'alive’:', 'the', 'horror', 'of', 'daily', 'life', 'for', 'those', 'trapped', 'in', 'Gaza']","['‘All', 'we', 'think', 'about', 'is', 'how', 'to', 'stay', 'alive’:', 'the', 'horror', 'of', 'daily', 'life', 'for', 'those', 'trapped', 'in', 'Gaza']",guardian
Thousands expected at London protest calling for immediate ceasefire in Gaza,2024-03-09,"['Thousands', 'expected', 'at', 'London', 'protest', 'calling', 'for', 'immediate', 'ceasefire', 'in', 'Gaza']","['Thousands', 'expected', 'at', 'London', 'protest', 'calling', 'for', 'immediate', 'ceasefire', 'in', 'Gaza']",guardian
How Israeli settler violence is forcing Palestinians to flee their homes – video,2023-12-14,"['How', 'Israeli', 'settler', 'violence', 'is', 'forcing', 'Palestinians', 'to', 'flee', 'their', 'homes', '–', 'video']","['How', 'Israeli', 'settler', 'violence', 'is', 'forcing', 'Palestinians', 'to', 'flee', 'their', 'home', '–', 'video']",guardian
